datetime,open,high,low,close,tick_volume
2024-01-22 14:38:00+02:00,1.0895,1.0895,1.08931,1.08931,62
2024-01-22 14:39:00+02:00,1.08931,1.08935,1.08926,1.08935,33
2024-01-22 14:40:00+02:00,1.08934,1.0895299999999999,1.08934,1.0895,58
2024-01-22 14:41:00+02:00,1.0895,1.08968,1.0895,1.08966,40
2024-01-22 14:42:00+02:00,1.08965,1.08975,1.08963,1.08964,34
2024-01-22 14:43:00+02:00,1.08966,1.08973,1.08966,1.08969,22
2024-01-22 14:44:00+02:00,1.08969,1.08983,1.08969,1.08977,53
2024-01-22 14:45:00+02:00,1.08978,1.08981,1.08957,1.08962,78
2024-01-22 14:46:00+02:00,1.08961,1.08962,1.08944,1.08949,90
2024-01-22 14:47:00+02:00,1.08948,1.08952,1.0894,1.08942,61
2024-01-22 14:48:00+02:00,1.08943,1.08943,1.08926,1.08929,65
2024-01-22 14:49:00+02:00,1.0893,1.08932,1.08905,1.08912,58
2024-01-22 14:50:00+02:00,1.08911,1.08917,1.0891,1.08916,71
2024-01-22 14:51:00+02:00,1.08917,1.08917,1.08894,1.08908,45
2024-01-22 14:52:00+02:00,1.08908,1.08918,1.08904,1.08914,54
2024-01-22 14:53:00+02:00,1.08914,1.08917,1.08908,1.0890900000000001,24
2024-01-22 14:54:00+02:00,1.08907,1.08915,1.08906,1.08913,45
2024-01-22 14:55:00+02:00,1.08912,1.08918,1.08908,1.08916,60
2024-01-22 14:56:00+02:00,1.08915,1.08916,1.0890900000000001,1.0891,34
2024-01-22 14:57:00+02:00,1.08911,1.08915,1.08899,1.08907,55
2024-01-22 14:58:00+02:00,1.08908,1.08931,1.08908,1.08923,64
2024-01-22 14:59:00+02:00,1.08922,1.08932,1.0892,1.08924,66
2024-01-22 15:00:00+02:00,1.08922,1.08947,1.08922,1.0894,117
2024-01-22 15:01:00+02:00,1.08941,1.08942,1.0893,1.08933,85
2024-01-22 15:02:00+02:00,1.08932,1.08935,1.08914,1.08918,105
2024-01-22 15:03:00+02:00,1.08917,1.08917,1.08895,1.08906,96
2024-01-22 15:04:00+02:00,1.08907,1.08912,1.08901,1.08906,65
2024-01-22 15:05:00+02:00,1.08905,1.0892,1.08905,1.0892,66
2024-01-22 15:06:00+02:00,1.08918,1.08925,1.08906,1.08919,92
2024-01-22 15:07:00+02:00,1.08917,1.08922,1.08912,1.08912,56
2024-01-22 15:08:00+02:00,1.08913,1.08922,1.08905,1.08908,40
2024-01-22 15:09:00+02:00,1.08905,1.08908,1.08891,1.08897,102
2024-01-22 15:10:00+02:00,1.08896,1.089,1.08886,1.08886,70
2024-01-22 15:11:00+02:00,1.08887,1.08891,1.08865,1.08865,98
2024-01-22 15:12:00+02:00,1.08865,1.08868,1.08854,1.08854,81
2024-01-22 15:13:00+02:00,1.08854,1.08856,1.08846,1.08849,47
2024-01-22 15:14:00+02:00,1.0885,1.08861,1.08849,1.0886,90
2024-01-22 15:15:00+02:00,1.08862,1.08863,1.08852,1.08853,99
2024-01-22 15:16:00+02:00,1.08852,1.08853,1.08835,1.08849,78
2024-01-22 15:17:00+02:00,1.08849,1.08862,1.08847,1.08859,82
2024-01-22 15:18:00+02:00,1.08859,1.08865,1.08834,1.08835,106
2024-01-22 15:19:00+02:00,1.08833,1.08856,1.08829,1.08851,80
2024-01-22 15:20:00+02:00,1.0885,1.08852,1.08834,1.0884800000000001,102
2024-01-22 15:21:00+02:00,1.08845,1.08859,1.08844,1.08855,57
2024-01-22 15:22:00+02:00,1.08853,1.08881,1.08852,1.08879,68
2024-01-22 15:23:00+02:00,1.08878,1.08895,1.08874,1.08893,111
2024-01-22 15:24:00+02:00,1.08891,1.08891,1.08874,1.08876,108
2024-01-22 15:25:00+02:00,1.08877,1.08881,1.08869,1.08869,94
2024-01-22 15:26:00+02:00,1.0887,1.08883,1.08862,1.08883,106
2024-01-22 15:27:00+02:00,1.08883,1.08891,1.08879,1.08885,84
2024-01-22 15:28:00+02:00,1.08887,1.08891,1.08874,1.08874,84
2024-01-22 15:29:00+02:00,1.08876,1.08887,1.08875,1.08881,59
2024-01-22 15:30:00+02:00,1.08882,1.08882,1.0884,1.08846,89
2024-01-22 15:31:00+02:00,1.0885,1.08857,1.0883099999999999,1.08832,85
2024-01-22 15:32:00+02:00,1.08834,1.08836,1.08818,1.08825,103
2024-01-22 15:33:00+02:00,1.08825,1.08832,1.08814,1.08817,64
2024-01-22 15:34:00+02:00,1.08816,1.08827,1.088,1.08802,103
2024-01-22 15:35:00+02:00,1.08802,1.08829,1.08802,1.08828,88
2024-01-22 15:36:00+02:00,1.08829,1.08855,1.08823,1.08843,94
2024-01-22 15:37:00+02:00,1.08841,1.08849,1.0884,1.08845,56
2024-01-22 15:38:00+02:00,1.08844,1.08854,1.0884,1.08845,124
2024-01-22 15:39:00+02:00,1.08844,1.08846,1.08819,1.08822,82
2024-01-22 15:40:00+02:00,1.08823,1.08846,1.08817,1.08841,92
2024-01-22 15:41:00+02:00,1.0884,1.08859,1.08838,1.08856,88
2024-01-22 15:42:00+02:00,1.08856,1.08857,1.08847,1.08851,52
2024-01-22 15:43:00+02:00,1.08852,1.08859,1.08846,1.08853,77
2024-01-22 15:44:00+02:00,1.08853,1.08853,1.08835,1.08839,79
2024-01-22 15:45:00+02:00,1.08839,1.08852,1.08835,1.0885,99
2024-01-22 15:46:00+02:00,1.0885,1.08873,1.0885,1.08855,65
2024-01-22 15:47:00+02:00,1.08854,1.08884,1.08854,1.08872,103
2024-01-22 15:48:00+02:00,1.08873,1.08873,1.0886,1.08862,42
2024-01-22 15:49:00+02:00,1.08863,1.08866,1.08854,1.08861,62
2024-01-22 15:50:00+02:00,1.08861,1.08878,1.08856,1.08871,77
2024-01-22 15:51:00+02:00,1.0887,1.08871,1.0886,1.08869,41
2024-01-22 15:52:00+02:00,1.08866,1.08897,1.08866,1.08897,55
2024-01-22 15:53:00+02:00,1.08896,1.08916,1.08896,1.08912,81
2024-01-22 15:54:00+02:00,1.08914,1.08927,1.08908,1.08927,58
2024-01-22 15:55:00+02:00,1.08927,1.08945,1.08923,1.08942,61
2024-01-22 15:56:00+02:00,1.08942,1.08951,1.08935,1.08942,76
2024-01-22 15:57:00+02:00,1.08941,1.08947,1.08935,1.08943,44
2024-01-22 15:58:00+02:00,1.08943,1.08949,1.08925,1.08927,111
2024-01-22 15:59:00+02:00,1.08928,1.0894,1.08916,1.08916,86
2024-01-22 16:00:00+02:00,1.08917,1.0892,1.08907,1.08908,47
2024-01-22 16:01:00+02:00,1.0891,1.08912,1.08883,1.08887,82
2024-01-22 16:02:00+02:00,1.08886,1.08887,1.08874,1.0888,97
2024-01-22 16:03:00+02:00,1.08879,1.08882,1.08869,1.08875,90
2024-01-22 16:04:00+02:00,1.08876,1.08876,1.08865,1.0887,77
2024-01-22 16:05:00+02:00,1.08873,1.08884,1.08872,1.08884,68
2024-01-22 16:06:00+02:00,1.08883,1.08885,1.08875,1.08878,55
2024-01-22 16:07:00+02:00,1.08879,1.0888,1.08857,1.08858,72
2024-01-22 16:08:00+02:00,1.08857,1.08873,1.08857,1.08864,52
2024-01-22 16:09:00+02:00,1.08863,1.0887,1.08859,1.08869,74
2024-01-22 16:10:00+02:00,1.0887,1.08875,1.08863,1.08865,54
2024-01-22 16:11:00+02:00,1.08865,1.08885,1.08865,1.08881,79
2024-01-22 16:12:00+02:00,1.08881,1.08898,1.08881,1.08893,33
2024-01-22 16:13:00+02:00,1.08893,1.08898,1.0889199999999999,1.08898,47
2024-01-22 16:14:00+02:00,1.08897,1.08898,1.0889199999999999,1.08895,33
2024-01-22 16:15:00+02:00,1.08894,1.08897,1.08872,1.08872,86
2024-01-22 16:16:00+02:00,1.08875,1.08895,1.08875,1.08895,66
2024-01-22 16:17:00+02:00,1.08894,1.08904,1.08894,1.08901,60
2024-01-22 16:18:00+02:00,1.08902,1.08906,1.08896,1.089,67
2024-01-22 16:19:00+02:00,1.08899,1.08899,1.08879,1.0889,64
2024-01-22 16:20:00+02:00,1.0889199999999999,1.08893,1.08876,1.0889,66
2024-01-22 16:21:00+02:00,1.08889,1.08899,1.08886,1.08897,41
2024-01-22 16:22:00+02:00,1.08895,1.08899,1.08891,1.08898,41
2024-01-22 16:23:00+02:00,1.08897,1.08907,1.08896,1.08898,61
2024-01-22 16:24:00+02:00,1.08899,1.08907,1.08893,1.08903,50
2024-01-22 16:25:00+02:00,1.08904,1.08914,1.08897,1.08906,48
2024-01-22 16:26:00+02:00,1.08906,1.0891,1.08901,1.08902,36
2024-01-22 16:27:00+02:00,1.08902,1.08917,1.08902,1.08917,75
2024-01-22 16:28:00+02:00,1.08914,1.08914,1.08898,1.08902,60
2024-01-22 16:29:00+02:00,1.08902,1.08917,1.089,1.08913,50
2024-01-22 16:30:00+02:00,1.08913,1.08935,1.08912,1.08934,84
2024-01-22 16:31:00+02:00,1.08935,1.08939,1.08923,1.08929,81
2024-01-22 16:32:00+02:00,1.08928,1.08933,1.0890900000000001,1.08923,141
2024-01-22 16:33:00+02:00,1.08925,1.08946,1.08917,1.08943,97
2024-01-22 16:34:00+02:00,1.08942,1.08949,1.08937,1.08947,133
2024-01-22 16:35:00+02:00,1.08949,1.08963,1.08943,1.0895299999999999,131
2024-01-22 16:36:00+02:00,1.0895299999999999,1.08956,1.08942,1.08942,112
2024-01-22 16:37:00+02:00,1.08942,1.08963,1.08941,1.08961,105
2024-01-22 16:38:00+02:00,1.08959,1.08959,1.08927,1.08927,112
2024-01-22 16:39:00+02:00,1.08925,1.08934,1.08923,1.08932,81
2024-01-22 16:40:00+02:00,1.08933,1.08944,1.08923,1.08923,142
2024-01-22 16:41:00+02:00,1.08922,1.08924,1.08906,1.08915,123
2024-01-22 16:42:00+02:00,1.08916,1.0892,1.089,1.08906,97
2024-01-22 16:43:00+02:00,1.08905,1.0891,1.08884,1.08885,110
2024-01-22 16:44:00+02:00,1.08886,1.0889199999999999,1.08853,1.0889,153
2024-01-22 16:45:00+02:00,1.08891,1.08913,1.08888,1.0891,131
2024-01-22 16:46:00+02:00,1.08917,1.08926,1.08903,1.08906,95
2024-01-22 16:47:00+02:00,1.08906,1.08921,1.08905,1.08913,87
2024-01-22 16:48:00+02:00,1.08914,1.08927,1.08907,1.0892,80
2024-01-22 16:49:00+02:00,1.08918,1.08925,1.08918,1.0892,62
2024-01-22 16:50:00+02:00,1.08919,1.08936,1.08916,1.0892,107
2024-01-22 16:51:00+02:00,1.08919,1.08921,1.08901,1.08907,90
2024-01-22 16:52:00+02:00,1.08907,1.08917,1.08906,1.08907,74
2024-01-22 16:53:00+02:00,1.08907,1.08931,1.08905,1.08923,106
2024-01-22 16:54:00+02:00,1.08922,1.08927,1.08903,1.08912,115
2024-01-22 16:55:00+02:00,1.08913,1.08922,1.08901,1.08908,138
2024-01-22 16:56:00+02:00,1.08907,1.08907,1.08894,1.08897,67
2024-01-22 16:57:00+02:00,1.08897,1.0890900000000001,1.08896,1.08902,39
2024-01-22 16:58:00+02:00,1.08902,1.08902,1.0889199999999999,1.08893,58
2024-01-22 16:59:00+02:00,1.08882,1.089,1.08877,1.08897,64
2024-01-22 17:00:00+02:00,1.08895,1.08896,1.08873,1.08882,79
2024-01-22 17:01:00+02:00,1.08881,1.08885,1.08872,1.08882,83
2024-01-22 17:02:00+02:00,1.08881,1.08894,1.08877,1.08887,86
