time,open,high,low,close,Volume,complete
2024-08-08 04:00:00+00:00,1.0935,1.09378,1.09308,1.09316,4672,True
2024-08-08 05:00:00+00:00,1.09319,1.0936,1.09299,1.09358,4388,True
2024-08-08 06:00:00+00:00,1.09358,1.09447,1.09336,1.09428,6451,True
2024-08-08 07:00:00+00:00,1.09432,1.09452,1.0934,1.094,8360,True
2024-08-08 08:00:00+00:00,1.094,1.09444,1.09354,1.0937,5153,True
2024-08-08 09:00:00+00:00,1.0937,1.09397,1.09262,1.0927,4960,True
2024-08-08 10:00:00+00:00,1.0927,1.09288,1.09208,1.09254,4275,True
2024-08-08 11:00:00+00:00,1.09255,1.09334,1.09232,1.09304,5505,True
2024-08-08 12:00:00+00:00,1.09306,1.09326,1.08917,1.08976,9980,True
2024-08-08 13:00:00+00:00,1.08978,1.09064,1.08814,1.08928,9719,True
2024-08-08 14:00:00+00:00,1.08934,1.09078,1.08914,1.09064,8958,True
2024-08-08 15:00:00+00:00,1.09063,1.09148,1.09055,1.09132,7467,True
2024-08-08 16:00:00+00:00,1.09131,1.09146,1.0905,1.09088,5547,True
2024-08-08 17:00:00+00:00,1.09088,1.09164,1.09074,1.09128,5499,True
2024-08-08 18:00:00+00:00,1.09128,1.09188,1.0911,1.09183,3887,True
2024-08-08 19:00:00+00:00,1.09182,1.09182,1.09134,1.0916,4078,True
2024-08-08 20:00:00+00:00,1.0916,1.09192,1.0916,1.09188,914,True
2024-08-08 21:00:00+00:00,1.09172,1.09184,1.09151,1.09176,289,True
2024-08-08 22:00:00+00:00,1.09171,1.09192,1.09158,1.09186,1011,True
2024-08-08 23:00:00+00:00,1.09186,1.09196,1.09144,1.0915,2957,True
2024-08-09 00:00:00+00:00,1.09151,1.0916,1.09116,1.0913,4687,True
2024-08-09 01:00:00+00:00,1.09129,1.09189,1.09118,1.09179,3700,True
2024-08-09 02:00:00+00:00,1.0918,1.09246,1.09158,1.09214,3874,True
2024-08-09 03:00:00+00:00,1.09214,1.09242,1.09204,1.0923,2568,True
2024-08-09 04:00:00+00:00,1.09228,1.0924,1.092,1.09201,2983,True
2024-08-09 05:00:00+00:00,1.092,1.09215,1.09182,1.09195,3264,True
2024-08-09 06:00:00+00:00,1.09193,1.09282,1.09176,1.09274,4365,True
2024-08-09 07:00:00+00:00,1.09274,1.09292,1.09203,1.0922,5538,True
2024-08-09 08:00:00+00:00,1.0922,1.09226,1.0913,1.09177,5665,True
2024-08-09 09:00:00+00:00,1.09176,1.09259,1.09174,1.09196,4018,True
2024-08-09 10:00:00+00:00,1.09197,1.09232,1.09167,1.09176,4481,True
2024-08-09 11:00:00+00:00,1.09175,1.09206,1.09114,1.0916,4697,True
2024-08-09 12:00:00+00:00,1.09162,1.09196,1.0909,1.09118,5116,True
2024-08-09 13:00:00+00:00,1.09118,1.09242,1.09098,1.09224,5460,True
2024-08-09 14:00:00+00:00,1.09224,1.09314,1.09212,1.09232,6015,True
2024-08-09 15:00:00+00:00,1.0923,1.09278,1.09216,1.09241,5276,True
2024-08-09 16:00:00+00:00,1.09241,1.09247,1.09178,1.09187,4477,True
2024-08-09 17:00:00+00:00,1.09188,1.09236,1.09152,1.09208,3940,True
2024-08-09 18:00:00+00:00,1.09208,1.09218,1.09172,1.09196,4443,True
2024-08-09 19:00:00+00:00,1.09195,1.09213,1.09172,1.09187,2500,True
2024-08-09 20:00:00+00:00,1.09188,1.09194,1.09146,1.09156,1031,True
2024-08-11 21:00:00+00:00,1.09171,1.09197,1.09169,1.09192,242,True
2024-08-11 22:00:00+00:00,1.09184,1.09192,1.09102,1.0913,1024,True
2024-08-11 23:00:00+00:00,1.09129,1.09152,1.09126,1.09128,2107,True
2024-08-12 00:00:00+00:00,1.09128,1.09198,1.09118,1.09184,2248,True
2024-08-12 01:00:00+00:00,1.09185,1.0923,1.09181,1.09209,2674,True
2024-08-12 02:00:00+00:00,1.09208,1.0922,1.09178,1.09179,2176,True
2024-08-12 03:00:00+00:00,1.0918,1.0919,1.09127,1.09141,2152,True
2024-08-12 04:00:00+00:00,1.0914,1.09216,1.09136,1.0919,2057,True
2024-08-12 05:00:00+00:00,1.09191,1.0921,1.09176,1.09186,2086,True
2024-08-12 06:00:00+00:00,1.09189,1.09236,1.09158,1.09212,3525,True
2024-08-12 07:00:00+00:00,1.09211,1.09286,1.09196,1.09224,4470,True
2024-08-12 08:00:00+00:00,1.09225,1.09254,1.09162,1.09208,4297,True
2024-08-12 09:00:00+00:00,1.09214,1.0928,1.09177,1.09268,3493,True
2024-08-12 10:00:00+00:00,1.09272,1.093,1.09218,1.09265,3171,True
2024-08-12 11:00:00+00:00,1.09266,1.09293,1.09198,1.09261,3108,True
2024-08-12 12:00:00+00:00,1.09258,1.0929,1.09176,1.092,4106,True
2024-08-12 13:00:00+00:00,1.09202,1.09335,1.092,1.09252,5491,True
2024-08-12 14:00:00+00:00,1.09253,1.09335,1.09152,1.09313,5439,True
2024-08-12 15:00:00+00:00,1.09312,1.09394,1.09274,1.0928,6071,True
2024-08-12 16:00:00+00:00,1.09278,1.09295,1.09218,1.09228,4033,True
2024-08-12 17:00:00+00:00,1.09229,1.09338,1.09222,1.09332,4158,True
2024-08-12 18:00:00+00:00,1.09331,1.0935,1.09284,1.09304,3767,True
2024-08-12 19:00:00+00:00,1.09305,1.09333,1.09298,1.09316,3012,True
2024-08-12 20:00:00+00:00,1.09316,1.09324,1.09274,1.09322,1165,True
2024-08-12 21:00:00+00:00,1.09308,1.0934,1.09304,1.09322,581,True
2024-08-12 22:00:00+00:00,1.09324,1.09332,1.09311,1.09325,868,True
2024-08-12 23:00:00+00:00,1.09326,1.09366,1.09314,1.09362,1187,True
2024-08-13 00:00:00+00:00,1.09362,1.09362,1.09294,1.093,3466,True
2024-08-13 01:00:00+00:00,1.09299,1.09354,1.09293,1.0935,2760,True
2024-08-13 02:00:00+00:00,1.0935,1.09377,1.0934,1.09354,2045,True
2024-08-13 03:00:00+00:00,1.09357,1.09385,1.09351,1.0937,2026,True
2024-08-13 04:00:00+00:00,1.0937,1.09394,1.09358,1.09392,1933,True
2024-08-13 05:00:00+00:00,1.09394,1.09412,1.09374,1.09398,2158,True
2024-08-13 06:00:00+00:00,1.09404,1.09409,1.09325,1.09334,3844,True
2024-08-13 07:00:00+00:00,1.09333,1.09348,1.09264,1.09302,4559,True
2024-08-13 08:00:00+00:00,1.093,1.093,1.09206,1.09234,3466,True
2024-08-13 09:00:00+00:00,1.09235,1.09272,1.09138,1.09198,4069,True
2024-08-13 10:00:00+00:00,1.09197,1.09251,1.0918,1.09232,3383,True
2024-08-13 11:00:00+00:00,1.09231,1.09323,1.09226,1.09304,3851,True
2024-08-13 12:00:00+00:00,1.09303,1.09467,1.09256,1.09409,7044,True
2024-08-13 13:00:00+00:00,1.0941,1.09626,1.09381,1.09588,7866,True
2024-08-13 14:00:00+00:00,1.09587,1.0962,1.09503,1.0956,7058,True
2024-08-13 15:00:00+00:00,1.0956,1.09588,1.09481,1.09536,5187,True
2024-08-13 16:00:00+00:00,1.09537,1.0974,1.0953,1.09722,4753,True
2024-08-13 17:00:00+00:00,1.09725,1.09786,1.09698,1.09768,4105,True
2024-08-13 18:00:00+00:00,1.09769,1.09994,1.09768,1.09992,4732,True
2024-08-13 19:00:00+00:00,1.09991,1.09997,1.0994,1.09959,3492,True
2024-08-13 20:00:00+00:00,1.09962,1.09989,1.09926,1.09928,1615,True
2024-08-13 21:00:00+00:00,1.09898,1.09939,1.0983,1.0993,1330,True
2024-08-13 22:00:00+00:00,1.0992,1.09973,1.0992,1.09966,726,True
2024-08-13 23:00:00+00:00,1.09967,1.09984,1.09944,1.0996,1024,True
2024-08-14 00:00:00+00:00,1.0996,1.09972,1.09917,1.0992,2635,True
2024-08-14 01:00:00+00:00,1.09919,1.09966,1.09905,1.09918,2551,True
2024-08-14 02:00:00+00:00,1.09918,1.09941,1.09901,1.09916,3877,True
2024-08-14 03:00:00+00:00,1.09917,1.09918,1.09886,1.09901,3018,True
2024-08-14 04:00:00+00:00,1.09897,1.09932,1.09895,1.09928,1580,True
2024-08-14 05:00:00+00:00,1.09932,1.09948,1.09894,1.09908,2298,True
2024-08-14 06:00:00+00:00,1.09908,1.10019,1.09864,1.1,4556,True
2024-08-14 07:00:00+00:00,1.09999,1.10079,1.09962,1.10057,4490,True
2024-08-14 08:00:00+00:00,1.10058,1.10201,1.10026,1.10194,4343,True
2024-08-14 09:00:00+00:00,1.10193,1.10287,1.10152,1.10256,3160,True
2024-08-14 10:00:00+00:00,1.10255,1.10255,1.1018,1.10221,3671,True
2024-08-14 11:00:00+00:00,1.1022,1.10252,1.102,1.10224,3099,True
2024-08-14 12:00:00+00:00,1.1023,1.10359,1.1004,1.10169,10342,True
2024-08-14 13:00:00+00:00,1.10167,1.10424,1.10161,1.10376,8475,True
2024-08-14 14:00:00+00:00,1.10377,1.10474,1.10272,1.10355,6795,True
2024-08-14 15:00:00+00:00,1.10356,1.10362,1.10212,1.10233,4118,True
2024-08-14 16:00:00+00:00,1.10232,1.10242,1.10155,1.10184,4261,True
2024-08-14 17:00:00+00:00,1.10184,1.10186,1.1013,1.10142,3566,True
2024-08-14 18:00:00+00:00,1.10142,1.10171,1.10109,1.1016,2647,True
2024-08-14 19:00:00+00:00,1.1016,1.10166,1.10114,1.1013,2780,True
2024-08-14 20:00:00+00:00,1.1013,1.10144,1.10109,1.10124,1573,True
2024-08-14 21:00:00+00:00,1.10129,1.10148,1.10114,1.1013,319,True
2024-08-14 22:00:00+00:00,1.10132,1.10158,1.10118,1.10134,648,True
2024-08-14 23:00:00+00:00,1.10135,1.1014,1.10097,1.10116,1245,True
2024-08-15 00:00:00+00:00,1.10116,1.10144,1.10092,1.10098,2753,True
2024-08-15 01:00:00+00:00,1.10096,1.101,1.10032,1.10069,3323,True
2024-08-15 02:00:00+00:00,1.1007,1.10114,1.10057,1.10087,2909,True
2024-08-15 03:00:00+00:00,1.10086,1.10108,1.10075,1.1008,1713,True
2024-08-15 04:00:00+00:00,1.10082,1.10122,1.1008,1.10118,1837,True
2024-08-15 05:00:00+00:00,1.10117,1.1013,1.10088,1.10098,1445,True
2024-08-15 06:00:00+00:00,1.10098,1.10155,1.10081,1.10146,3758,True
2024-08-15 07:00:00+00:00,1.10148,1.10156,1.10075,1.10134,3761,True
2024-08-15 08:00:00+00:00,1.10134,1.10135,1.10052,1.10062,4100,True
2024-08-15 09:00:00+00:00,1.10059,1.1013,1.10034,1.10118,3082,True
2024-08-15 10:00:00+00:00,1.10119,1.10142,1.1008,1.10102,2662,True
2024-08-15 11:00:00+00:00,1.10104,1.10136,1.10098,1.10133,2915,True
2024-08-15 12:00:00+00:00,1.10133,1.10143,1.09518,1.09566,8778,True
2024-08-15 13:00:00+00:00,1.09566,1.09698,1.09496,1.09684,8844,True
2024-08-15 14:00:00+00:00,1.09686,1.09862,1.0965,1.0983,7095,True
2024-08-15 15:00:00+00:00,1.09831,1.09896,1.09816,1.09856,5348,True
2024-08-15 16:00:00+00:00,1.09857,1.09893,1.09775,1.0978,3342,True
